topic	case	argued	decided	opinion
property	Hudson v. Palmer	Argued: December 7, 1983	Decided: July 3, 1984 [*]	Opinion, Burger
property	473 U.S. 432	NA	NA	NA
property	475 U.S. 41	NA	NA	NA
property	First English Evangelical Lutheran Church of Glendale v. County of Los Angeles, California	Argued: January 14, 1987	Decided: June 9, 1987	Opinion, Rehnquist
property	483 U.S. 825	Argued: March 30, 1987	Decided: June 26, 1987	Opinion, Scalia
property	Lucas v. South Carolina Coastal Council	Argued: March 2, 1992	Decided: June 29, 1992	Opinion, Scalia
property	Phillips v. Washington Legal Foundation	Argued: January 13, 1998	Decided: June 15, 1998	Opinion, Rehnquist
property	NA	NA	NA	NA
race	Civil Rights Cases	Argued: 	Decided: October 16th, 1883	Opinion, Bradley
race	Yick Wo v. Hopkins	Argued: 	Decided: May 10, 1886	Opinion, Matthews
race	Plessy v. Ferguson	Argued: April 18, 1896	Decided: May 18, 1896	Opinion, Brown
race	Guinn & Beal v. United States	Argued: October 17, 1913	Decided: June 21, 1915	Opinion, White
race	Buchanan v. Warley	Argued: April 10, 11, 1916	Decided: November 5, 1917	Opinion, Day
race	Norris v. Alabama	Argued: February 15, 18, 1935	Decided: April 1, 1935	Opinion, Hughes
race	Missouri ex rel. Gaines v. Canada	Argued: November 9, 1938	Decided: December 12, 1938	Opinion, Hughes
race	Chambers v. Florida	Argued: January 4, 1940	Decided: February 12, 1940	Opinion, Black
race	Smith v. Allwright	Argued: November 10, 12, 1943	Decided: April 3, 1944	Opinion, Reed
race	Korematsu v. United States	Argued: October 11, 12, 1944	Decided: December 18, 1944	Opinion, Black
race	Morgan v. Virginia	Argued: March 27, 1946	Decided: June 3, 1946	Opinion, Reed
race	334 U.S. 1	NA	NA	NA
race	339 U.S. 382	NA	NA	NA
race	Sweatt v. Painter	Argued: April 4, 1950	Decided: June 5, 1950	Opinion, Vinson
race	McLaurin v. Oklahoma State Regents	Argued: April 3-4, 1950	Decided: June 5, 1950	Opinion, Vinson
race	Terry v. Adams	Argued: January 16, 1953	Decided: May 4, 1953	Opinion, Black
race	Brown v. Board of Education	Argued: Argued December 9, 1952	Decided: Decided May 17, 1954	Opinion, Warren
race	Bolling v. Sharpe	Argued: December 10-11, 1952	Decided: May 17, 1954	Opinion, Warren
race	Brown v. Board of Education	Argued: Reargued on the question of relief April 11-14, 1955	Decided: Opinion and judgments announced May 31, 1955	Opinion, Warren
race	Monroe v. Pape	Argued: November 8, 1960	Decided: February 20, 1961	Opinion, Douglas
race	Edwards v. South Carolina	Argued: December 13, 1962	Decided: February 25, 1963	Opinion, Stewart
race	Heart of Atlanta Motel, Inc. v. United States	Argued: October 5, 1964	Decided: December 14, 1964	Opinion, Clark
race	Katzenbach v. McClung	Argued: October 5, 1964	Decided: December 14, 1964	Opinion, Clark
race	Evans v. Newton	Argued: November 9-10, 1965	Decided: January 17, 1966	Opinion, Douglas
race	United States v. Guest	Argued: November 9, 1965	Decided: March 28, 1966	Opinion, Stewart
race	Loving v. Virginia	Argued: April 10, 1967	Decided: June 12, 1967	Opinion, Warren
race	Swann v. Charlotte-Mecklenburg Board of Education	Argued: October 12, 1970	Decided: April 20, 1971  [*]	Opinion, Burger
race	406 U.S. 404	NA	NA	NA
race	418 U.S. 717	NA	NA	NA
race	426 U.S. 229	NA	NA	NA
race	Regents of the Uni v. of Cal. v. Bakke	Argued: October 12, 1977	Decided: June 28, 1978	Opinion, Powell
race	National Association for the Advancement of Colored People v. Claiborne Hardware Co.	Argued: March 3, 1982	Decided: July 2, 1982	Opinion, Stevens
race	Bob Jones Uni v. v. United States	Argued: October 12, 1982	Decided: May 24, 1983  [*]	Opinion, Burger
race	Johnson v. Transportation Agency	Argued: November 12, 1986	Decided: March 25, 1987	Opinion, Brennan
race	Missouri v. Jenkins	Argued: Oct. 30, 1989	Decided: April 18, 1990	Opinion, White
race	Metro Broadcasting, Inc. v. Federal Communications Commission	Argued: March 28, 1990	Decided: June 27, 1990	Opinion, Brennan
race	Adarand Constructors, Inc. v. Pena	Argued: January 17, 1995	Decided: 	Opinion, O'Connor
race	517 U.S. 456	NA	NA	NA
race_discrimination	Scott v. Sandford	Argued: 	Decided: 	Opinion, Taney
race_discrimination	Slaughterhouse Cases	Argued: 	Decided: 	Opinion, Miller
race_discrimination	Strauder v. West Virginia	Argued: 	Decided: 	Opinion, Strong
race_discrimination	Civil Rights Cases	Argued: 	Decided: October 16th, 1883	Opinion, Bradley
race_discrimination	Yick Wo v. Hopkins	Argued: 	Decided: May 10, 1886	Opinion, Matthews
race_discrimination	Plessy v. Ferguson	Argued: April 18, 1896	Decided: May 18, 1896	Opinion, Brown
race_discrimination	Guinn & Beal v. United States	Argued: October 17, 1913	Decided: June 21, 1915	Opinion, White
race_discrimination	Buchanan v. Warley	Argued: April 10, 11, 1916	Decided: November 5, 1917	Opinion, Day
race_discrimination	Norris v. Alabama	Argued: February 15, 18, 1935	Decided: April 1, 1935	Opinion, Hughes
race_discrimination	Missouri ex rel. Gaines v. Canada	Argued: November 9, 1938	Decided: December 12, 1938	Opinion, Hughes
race_discrimination	Railroad Commission of Texas v. Pullman Company	Argued: February 4, 1941	Decided: March 3, 1941	Opinion, Frankfurter
race_discrimination	Smith v. Allwright	Argued: November 10, 12, 1943	Decided: April 3, 1944	Opinion, Reed
race_discrimination	Korematsu v. United States	Argued: October 11, 12, 1944	Decided: December 18, 1944	Opinion, Black
race_discrimination	Morgan v. Virginia	Argued: March 27, 1946	Decided: June 3, 1946	Opinion, Reed
race_discrimination	334 U.S. 1	NA	NA	NA
race_discrimination	Sweatt v. Painter	Argued: April 4, 1950	Decided: June 5, 1950	Opinion, Vinson
race_discrimination	McLaurin v. Oklahoma State Regents	Argued: April 3-4, 1950	Decided: June 5, 1950	Opinion, Vinson
race_discrimination	Terry v. Adams	Argued: January 16, 1953	Decided: May 4, 1953	Opinion, Black
race_discrimination	Brown v. Board of Education	Argued: Argued December 9, 1952	Decided: Decided May 17, 1954	Opinion, Warren
race_discrimination	Bolling v. Sharpe	Argued: December 10-11, 1952	Decided: May 17, 1954	Opinion, Warren
race_discrimination	Brown v. Board of Education	Argued: Reargued on the question of relief April 11-14, 1955	Decided: Opinion and judgments announced May 31, 1955	Opinion, Warren
race_discrimination	Monroe v. Pape	Argued: November 8, 1960	Decided: February 20, 1961	Opinion, Douglas
race_discrimination	Edwards v. South Carolina	Argued: December 13, 1962	Decided: February 25, 1963	Opinion, Stewart
race_discrimination	Heart of Atlanta Motel, Inc. v. United States	Argued: October 5, 1964	Decided: December 14, 1964	Opinion, Clark
race_discrimination	Evans v. Newton	Argued: November 9-10, 1965	Decided: January 17, 1966	Opinion, Douglas
race_discrimination	United States v. Guest	Argued: November 9, 1965	Decided: March 28, 1966	Opinion, Stewart
race_discrimination	Loving v. Virginia	Argued: April 10, 1967	Decided: June 12, 1967	Opinion, Warren
race_discrimination	Evans v. Abney	Argued: November 12-13, 1969	Decided: January 26, 1970	Opinion, Black
race_discrimination	Oregon v. Mitchell	Argued: October 19, 1970	Decided: December 21, 1970  [*]	Opinion, Black
race_discrimination	Griggs v. Duke Power Co.	Argued: December 14, 1970	Decided: March 8, 1971	Opinion, Burger
race_discrimination	Swann v. Charlotte-Mecklenburg Board of Education	Argued: October 12, 1970	Decided: April 20, 1971  [*]	Opinion, Burger
race_discrimination	North Carolina State Board of Education v. Swann	Argued: October 13, 1970	Decided: April 20, 1971	Opinion, Burger
race_discrimination	406 U.S. 404	NA	NA	NA
race_discrimination	407 U.S. 163	NA	NA	NA
race_discrimination	Keyes v. School District No. 1, Denver, Colorado	Argued: October 12, 1972	Decided: June 21, 1973	Opinion, Brennan
race_discrimination	414 U.S. 563	NA	NA	NA
race_discrimination	422 U.S. 490	NA	NA	NA
race_discrimination	426 U.S. 229	NA	NA	NA
race_discrimination	Village of Arlington Heights v. Metropolitan	Argued: October 13, 1976	Decided: January 11, 1977	Opinion, Powell
race_discrimination	430 U.S. 482	NA	NA	NA
race_discrimination	Milliken v. Bradley	Argued: March 22, 1977	Decided: June 27, 1977	Opinion, Burger
race_discrimination	Regents of the Uni v. of Cal. v. Bakke	Argued: October 12, 1977	Decided: June 28, 1978	Opinion, Powell
race_discrimination	United Steelworkers of America, AFL-CIO-CLC v. Weber	Argued: March 28, 1979	Decided: June 27, 1979  [*]	Opinion, Brennan
race_discrimination	City of Mobile v. Bolden	Argued: March 19, 1979	Decided: April 22, 1980	Opinion, Stewart
race_discrimination	Fullilove v. Klutznick	Argued: November 27, 1979	Decided: July 2, 1980	Opinion, Burger
race_discrimination	451 U.S. 100	NA	NA	NA
race_discrimination	Bob Jones Uni v. v. United States	Argued: October 12, 1982	Decided: May 24, 1983  [*]	Opinion, Burger
race_discrimination	Palmore v. Sidoti	Argued: February 22, 1984	Decided: April 25, 1984	Opinion, Burger
race_discrimination	Firefighters Local Union No. 1784 v. Stotts	Argued: December 6, 1984	Decided: June 12, 1984  [*]	Opinion, White
race_discrimination	468 U.S. 737	NA	NA	NA
race_discrimination	Batson v. Kentucky	Argued: December 12, 1985	Decided: April 30, 1986	Opinion, Powell
race_discrimination	476 U.S. 267	NA	NA	NA
race_discrimination	480 U.S. 149	NA	NA	NA
race_discrimination	McCleskey v. Kemp	Argued: October 15, 1986	Decided: April 22, 1987	Opinion, Powell
race_discrimination	Saint Francis College v. Al-Khazraji	Argued: February 25, 1987	Decided: May 18, 1987	Opinion, White
race_discrimination	488 U.S. 469	NA	NA	NA
race_discrimination	Ward's Cove Packing Co., Inc. v. Antonio	Argued: January 18, 1989	Decided: June 5, 1989	Opinion, White
race_discrimination	Martin v. Wilks	Argued: January 18, 1989	Decided: June 12, 1989  [*]	Opinion, Rehnquist
race_discrimination	Patterson v. McLean Credit Union	Argued: February 29, 1988	Decided: June 15, 1989	Opinion, Kennedy
race_discrimination	Missouri v. Jenkins	Argued: Oct. 30, 1989	Decided: April 18, 1990	Opinion, White
race_discrimination	Metro Broadcasting, Inc. v. Federal Communications Commission	Argued: March 28, 1990	Decided: June 27, 1990	Opinion, Brennan
race_discrimination	Ford v. Georgia	Argued: Nov. 6, 1990	Decided: Feb. 19, 1991	Opinion, Souter
race_discrimination	Powers v. Ohio	Argued: Oct. 9, 1990	Decided: April 1, 1991	Opinion, Kennedy
race_discrimination	Freeman v. Pitts	Argued: Oct. 7, 1991	Decided: March 31, 1992	Opinion, Kennedy
race_discrimination	505 U.S. 42	NA	NA	NA
race_discrimination	R.A.V. v. City of St. Paul	Argued: Dec. 4, 1991	Decided: June 22, 1992	Opinion, Scalia
race_discrimination	United States v. Fordice	Argued: Nov. 13, 1991	Decided: June 26, 1992	Opinion, White
race_discrimination	Adarand Constructors, Inc. v. Pena	Argued: January 17, 1995	Decided: 	Opinion, O'Connor
race_discrimination	517 U.S. 456	NA	NA	NA
reapportionment	Colegrove v. Green	Argued: March 7, 8, 1946	Decided: June 10, 1946	Opinion, Frankfurter
reapportionment	Wesberry v. Sanders	Argued: November 18-19, 1963	Decided: February 17, 1964	Opinion, Black
reapportionment	377 U.S. 533	NA	NA	NA
reapportionment	Kirkpatrick v. Preisler	Argued: January 13, 1969	Decided: April 7, 1969  [*]	Opinion, Brennan
reapportionment	Mahan v. Howell	Argued: December 12, 1972	Decided: February 21, 1973  [*]	Opinion, Rehnquist
reapportionment	City of Mobile v. Bolden	Argued: March 19, 1979	Decided: April 22, 1980	Opinion, Stewart
reapportionment	Department of Commerce v. United States House	Argued: November 30, 1998	Decided: January 25, 1999 [*]	Opinion, O'Connor
regulation	Standard Oil Co. of New Jersey v. United States	Argued: March 14, 15, 16, 1910	Decided: May 15, 1911	Opinion, White
regulation	Houston East and West Texas Railway Company v. United States	Argued: October 28, 29, 1913	Decided: June 8, 1914	Opinion, Hughes
regulation	Hammer v. Dagenhart	Argued: April 15, 16, 1918	Decided: June 3, 1918	Opinion, Day
regulation	Block v. Hirsh	Argued: March 3, 1921	Decided: April 18, 1921	Opinion, Holmes
regulation	Adkins v. Children's Hospital	Argued: March 14, 1923	Decided: April 9, 1923	Opinion, Sutherland
regulation	Tyson & Brother v. Banton	Argued: October 6, 7, 1926	Decided: February 28, 1927	Opinion, Sutherland
regulation	Nebbia v. New York	Argued: December 4, 5, 1933	Decided: March 5, 1934	Opinion, Roberts
regulation	294 U.S. 511	NA	NA	NA
regulation	A. L. A. Schechter Poultry Corp. v. United States	Argued: May 2, 3, 1935	Decided: May 27, 1935  [*]	Opinion, Hughes
regulation	United States v. Butler	Argued: December 9, 10, 1935	Decided: January 6, 1936	Opinion, Roberts
regulation	South Carolina State Highway Department v. Barnwell Brothers, Inc.	Argued: January 4, 1938	Decided: February 14, 1938	Opinion, Stone
regulation	Mulford v. Smith	Argued: March 8, 1939	Decided: April 17, 1939	Opinion, Roberts
regulation	United States v. Darby	Argued: December 19, 20, 1940	Decided: February 3, 1941	Opinion, Stone
regulation	Wickard v. Filburn	Argued: May 4, 1942	Decided: November 9, 1942	Opinion, Jackson
regulation	Southern Pacific Co. v. Arizona	Argued: March 26, 27, 1945	Decided: June 18, 1945	Opinion, Stone
regulation	Dean Milk Co. v. City of Madison	Argued: December 7, 1950	Decided: January 15, 1951	Opinion, Clark
regulation	Bibb v. Navajo Freight Lines, Inc.	Argued: March 30-31, 1959	Decided: May 25, 1959	Opinion, Douglas
regulation	Maryland v. Wirtz	Argued: April 23, 1968	Decided: June 10, 1968	Opinion, Harlan
regulation	Hunt v. Washington State Apple Advertising Commission	Argued: February 22, 1977	Decided: June 20, 1977	Opinion, Burger
regulation	City of Philadelphia v. New Jersey	Argued: March 27, 1978	Decided: June 23, 1978	Opinion, Stewart
regulation	Central Hudson Gas & Elec. Corp. v. Public Service Comm'n	Argued: March 17, 1980	Decided: June 20, 1980	Opinion, Powell
removal_power	Myers v. United States	Argued: December 5, 1923Reargued April 13, 14, 1925	Decided: October 25, 1926	Opinion, Taft
removal_power	Humphrey's Executor v. United States	Argued: 1, 1935	Decided: May 27, 1935	Opinion, Sutherland
removal_power	Wiener v. United States	Argued: November 18, 1957	Decided: June 30, 1958	Opinion, Frankfurter
reproduction	Buck v. Bell	Argued: April 22, 1927	Decided: May 2, 1927	Opinion, Holmes
res_judicata	Ashe v. Swenson	Argued: November 13, 1969	Decided: April 6, 1970	Opinion, Stewart
res_judicata	Oregon v. Mitchell	Argued: October 19, 1970	Decided: December 21, 1970  [*]	Opinion, Black
res_judicata	453 U.S. 490	NA	NA	NA
right_to_a_hearing	Goldberg v. Kelly	Argued: October 13, 1969	Decided: March 23, 1970	Opinion, Brennan
right_to_a_hearing	407 U.S. 67	NA	NA	NA
right_to_a_hearing	408 U.S. 564	NA	NA	NA
right_to_a_hearing	Perry v. Sindermann	Argued: January 18, 1972	Decided: June 29, 1972	Opinion, Stewart
right_to_a_hearing	Goss v. Lopez	Argued: October 16, 1974	Decided: January 22, 1975	Opinion, White
right_to_a_hearing	Mathews v. Eldridge	Argued: October 6, 1975	Decided: February 24, 1976	Opinion, Powell
right_to_a_hearing	Parham v. J.R.	Argued: December 6, 1977	Decided: June 20, 1979	Opinion, Burger
right_to_a_hearing	Gannett Co., Inc. v. DePasquale	Argued: November 7, 1978	Decided: July 2, 1979	Opinion, Stewart
right_to_a_hearing	Santosky v. Kramer	Argued: November 10, 1981	Decided: March 24, 1982	Opinion, Blackmun
right_to_a_hearing	Blum v. Yaretsky	Argued: March 24, 1982	Decided: June 25, 1982	Opinion, Rehnquist
right_to_a_hearing	Press-Enterprise Co. v. Superior Court	Argued: February 26, 1986	Decided: June 30, 1986	Opinion, Burger
right_to_bear_arms	United States v. Miller	Argued: March 30, 1939	Decided: May 15, 1939	Opinion, Mcreynolds
right_to_confront_witnesses	Pointer v. Texas	Argued: March 15, 1965	Decided: April 5, 1965	Opinion, Black
right_to_confront_witnesses	In re Gault	Argued: December 6, 1966	Decided: May 15, 1967	Opinion, Fortas
right_to_confront_witnesses	Maryland v. Craig	Argued: April 18, 1990	Decided: 	Opinion, O'Connor
right_to_counsel	Powell v. Alabama	Argued: October 10, 1932	Decided: November 7, 1932	Opinion, Sutherland
right_to_counsel	Johnson v. Zerbst	Argued: April 4, 1938	Decided: May 23, 1938	Opinion, Black
right_to_counsel	Betts v. Brady	Argued: April 13, 14, 1942	Decided: June 1, 1942	Opinion, Roberts
right_to_counsel	Gideon v. Wainwright	Argued: January 15, 1963	Decided: March 18, 1963	Opinion, Black
right_to_counsel	Massiah v. United States	Argued: March 3, 1964	Decided: May 18, 1964	Opinion, Stewart
right_to_counsel	Escobedo v. Illinois	Argued: April 29, 1964	Decided: June 22, 1964	Opinion, Goldberg
right_to_counsel	Kent v. United States	Argued: January 19, 1966	Decided: March 21, 1966	Opinion, Fortas
right_to_counsel	Miranda v. Arizona	Argued: February 28-March 1, 1966	Decided: June 13, 1966  [*]	Opinion, Warren
right_to_counsel	In re Gault	Argued: December 6, 1966	Decided: May 15, 1967	Opinion, Fortas
right_to_counsel	Goldberg v. Kelly	Argued: October 13, 1969	Decided: March 23, 1970	Opinion, Brennan
right_to_counsel	Chambers v. Maroney	Argued: April 27, 1970	Decided: June 22, 1970	Opinion, White
right_to_counsel	Argersinger v. Hamlin	Argued: December 6, 1971	Decided: June 12, 1972	Opinion, Douglas
right_to_counsel	Brewer v. Williams	Argued: October 4, 1976	Decided: March 23, 1977	Opinion, Stewart
right_to_counsel	Rhode Island v. Innis	Argued: October 30, 1979	Decided: May 12, 1980	Opinion, Stewart
right_to_counsel	Lassiter v. Department of Social Services	Argued: February 23, 1981	Decided: June 1, 1981	Opinion, Stewart
right_to_counsel	Nix v. Whiteside	Argued: November 5, 1985	Decided: February 26, 1986	Opinion, Burger
right_to_counsel	505 U.S. 42	NA	NA	NA
right_to_travel	Kent v. Dulles	Argued: April 10, 1958	Decided: June 16, 1958	Opinion, Douglas
right_to_travel	Aptheker v. Secretary of State	Argued: April 21, 1964	Decided: June 22, 1964	Opinion, Goldberg
right_to_travel	Zemel v. Rusk	Argued: March 1, 1965	Decided: May 3, 1965	Opinion, Warren
right_to_travel	United States v. Guest	Argued: November 9, 1965	Decided: March 28, 1966	Opinion, Stewart
right_to_travel	Shapiro v. Thompson	Argued: May 1, 1968	Decided: April 21, 1969  [*]	Opinion, Brennan
right_to_travel	Oregon v. Mitchell	Argued: October 19, 1970	Decided: December 21, 1970  [*]	Opinion, Black
right_to_travel	403 U.S. 365	NA	NA	NA
searches_and_seizures	Luther v. Borden	Argued: 	Decided: 	Opinion, Taney
searches_and_seizures	Schenck v. United States	Argued: January 9, 10, 1919	Decided: March 3, 1919	Opinion, Holmes
searches_and_seizures	Olmstead v. United States	Argued: February 20, 21, 1928	Decided: June 4, 1928	Opinion, Taft
searches_and_seizures	Brinegar v. United States	Argued: October 18-19, 1948	Decided: June 27, 1949	Opinion, Rutledge
searches_and_seizures	Monroe v. Pape	Argued: November 8, 1960	Decided: February 20, 1961	Opinion, Douglas
searches_and_seizures	Mapp v. Ohio	Argued: March 29, 1961	Decided: June 19, 1961	Opinion, Clark
searches_and_seizures	Warden v. Hayden	Argued: April 12, 1967	Decided: May 29, 1967	Opinion, Brennan
searches_and_seizures	Berger v. New York	Argued: April 13, 1967	Decided: June 12, 1967	Opinion, Clark
searches_and_seizures	Katz v. United States	Argued: October 17, 1967	Decided: December 18, 1967	Opinion, Stewart
searches_and_seizures	391 U.S. 543	NA	NA	NA
searches_and_seizures	Terry v. Ohio	Argued: December 12, 1967	Decided: June 10, 1968	Opinion, Warren
searches_and_seizures	Chambers v. Maroney	Argued: April 27, 1970	Decided: June 22, 1970	Opinion, White
searches_and_seizures	Adams v. Williams	Argued: April 10, 1972	Decided: June 12, 1972	Opinion, Rehnquist
searches_and_seizures	United States v. United States District Court	Argued: February 24, 1972	Decided: June 19, 1972	Opinion, Powell
searches_and_seizures	Schneckloth v. Bustamonte	Argued: October 10, 1972	Decided: May 29, 1973	Opinion, Stewart
searches_and_seizures	United States v. Calandra	Argued: October 11, 1973	Decided: January 8, 1974	Opinion, Powell
searches_and_seizures	United States v. Kahn	Argued: December 11-12, 1973	Decided: February 20, 1974	Opinion, Stewart
searches_and_seizures	415 U.S. 164	NA	NA	NA
searches_and_seizures	United States v. Watson	Argued: October 8, 1975	Decided: January 26, 1976	Opinion, White
searches_and_seizures	South Dakota v. Opperman	Argued: March 29, 1976	Decided: July 6, 1976	Opinion, Burger
searches_and_seizures	433 U.S. 425	NA	NA	NA
searches_and_seizures	Zurcher v. Stanford Daily	Argued: January 17, 1978	Decided: May 31, 1978  [*]	Opinion, White
searches_and_seizures	Mincey v. Arizona	Argued: February 21, 1978	Decided: June 21, 1978	Opinion, Stewart
searches_and_seizures	Delaware v. Prouse	Argued: January 17, 1979	Decided: March 27, 1979	Opinion, White
searches_and_seizures	United States v. Mendenhall	Argued: February 19, 1980	Decided: May 27, 1980	Opinion, Stewart
searches_and_seizures	455 U.S. 1	NA	NA	NA
searches_and_seizures	United States v. Ross	Argued: March 1, 1982	Decided: June 1, 1982	Opinion, Stevens
searches_and_seizures	Illinois v. Gates	Argued: October 13, 1982	Decided: June 8, 1983	Opinion, Rehnquist
searches_and_seizures	463 U.S. 1032	NA	NA	NA
searches_and_seizures	Oliver v. United States	Argued: November 9, 1983	Decided: April 17, 1984  [*]	Opinion, Powell
searches_and_seizures	466 U.S. 380	NA	NA	NA
searches_and_seizures	Waller v. Georgia	Argued: March 27, 1984	Decided: May 21, 1984  [*]	Opinion, Powell
searches_and_seizures	Hudson v. Palmer	Argued: December 7, 1983	Decided: July 3, 1984 [*]	Opinion, Burger
searches_and_seizures	United States v. Leon	Argued: January 17, 1984	Decided: July 5, 1984	Opinion, White
searches_and_seizures	468 U.S. 981	NA	NA	NA
searches_and_seizures	New Jersey v. T.L.O.	Argued: March 28, 1984	Decided: January 15, 1985	Opinion, White
searches_and_seizures	California v. Carney	Argued: October 30, 1984	Decided: May 13, 1985	Opinion, Burger
searches_and_seizures	New York v. Class	Argued: November 4, 1985	Decided: February 25, 1986	Opinion, O'Connor
searches_and_seizures	California v. Ciraolo	Argued: December 10, 1985	Decided: May 19, 1986	Opinion, Burger
searches_and_seizures	486 U.S. 35	NA	NA	NA
searches_and_seizures	Skinner v. Railway Labor Executives' Association	Argued: November 2, 1988	Decided: March 21, 1989	Opinion, Kennedy
searches_and_seizures	Michigan Dep't of State Police v. Sitz	Argued: Feb. 27, 1990	Decided: June 14, 1990	Opinion, Rehnquist
searches_and_seizures	Florida v. Bostick	Argued: Feb. 26, 1991	Decided: June 20, 1991	Opinion, O'Connor
searches_and_seizures	519 U.S. 33	NA	NA	NA
searches_and_seizures	Maryland v. Wilson	Argued: December 11, 1996	Decided: February 19, 1997	Opinion, Rehnquist
searches_and_seizures	526 U.S. 603	NA	NA	NA
searches_and_seizures	529 U.S. 266	NA	NA	NA
searches_and_seizures	NA	NA	NA	NA
searches_and_seizures	NA	NA	NA	NA
searches_and_seizures	NA	NA	NA	NA
searches_and_seizures	NA	NA	NA	NA
second_amendment	United States v. Miller	Argued: March 30, 1939	Decided: May 15, 1939	Opinion, Mcreynolds
sedition	Stromberg v. California	Argued: April 15, 1931	Decided: May 18, 1931	Opinion, Hughes
sedition	Dennis v. United States	Argued: December 4, 1950	Decided: June 4, 1951	Opinion, Vinson
sedition	Pennsylvania v. Nelson	Argued: November 15-16, 1955	Decided: April 2, 1956	Opinion, Warren
sedition	Scales v. United States	Argued: April 29, 1959	Decided: June 5, 1961	Opinion, Harlan
sedition	Keyishian v. Board of Regents	Argued: November 17, 1966	Decided: January 23, 1967	Opinion, Brennan
segregation	Plessy v. Ferguson	Argued: April 18, 1896	Decided: May 18, 1896	Opinion, Brown
segregation	Brown v. Board of Education	Argued: Argued December 9, 1952	Decided: Decided May 17, 1954	Opinion, Warren
segregation	Bolling v. Sharpe	Argued: December 10-11, 1952	Decided: May 17, 1954	Opinion, Warren
segregation	Brown v. Board of Education	Argued: Reargued on the question of relief April 11-14, 1955	Decided: Opinion and judgments announced May 31, 1955	Opinion, Warren
segregation	Swann v. Charlotte-Mecklenburg Board of Education	Argued: October 12, 1970	Decided: April 20, 1971  [*]	Opinion, Burger
self-incrimination	Twining v. State	Argued: March 19, 20, 1908	Decided: November 9, 1908	Opinion, Moody
self-incrimination	Olmstead v. United States	Argued: February 20, 21, 1928	Decided: June 4, 1928	Opinion, Taft
self-incrimination	Chambers v. Florida	Argued: January 4, 1940	Decided: February 12, 1940	Opinion, Black
self-incrimination	Adamson v. California	Argued: January 15-16, 1947	Decided: June 23, 1947	Opinion, Reed
self-incrimination	Ullmann v. United States	Argued: December 6, 1955	Decided: March 26, 1956	Opinion, Frankfurter
self-incrimination	Slochower v. Board of Higher Education of New York City	Argued: October 18-19, 1955	Decided: April 9, 1956	Opinion, Clark
self-incrimination	Mallory v. United States	Argued: April 1, 1957	Decided: June 24, 1957	Opinion, Frankfurter
self-incrimination	Communist Party of the United States v. Subversive Activities Control Bd. No. 12	Argued: October 11-12, 1960	Decided: 	Opinion, Frankfurter
self-incrimination	Scales v. United States	Argued: April 29, 1959	Decided: June 5, 1961	Opinion, Harlan
self-incrimination	Malloy v. Hogan	Argued: March 5, 1964	Decided: June 15, 1964	Opinion, Brennan
self-incrimination	Albertson v. Subversive Activities Control Board	Argued: October 18, 1965	Decided: November 15, 1965	Opinion, Brennan
self-incrimination	Miranda v. Arizona	Argued: February 28-March 1, 1966	Decided: June 13, 1966  [*]	Opinion, Warren
self-incrimination	In re Gault	Argued: December 6, 1966	Decided: May 15, 1967	Opinion, Fortas
self-incrimination	Warden v. Hayden	Argued: April 12, 1967	Decided: May 29, 1967	Opinion, Brennan
self-incrimination	Berger v. New York	Argued: April 13, 1967	Decided: June 12, 1967	Opinion, Clark
self-incrimination	Harris v. New York	Argued: December 17, 1970	Decided: February 24, 1971	Opinion, Burger
self-incrimination	Brewer v. Williams	Argued: October 4, 1976	Decided: March 23, 1977	Opinion, Stewart
self-incrimination	Mincey v. Arizona	Argued: February 21, 1978	Decided: June 21, 1978	Opinion, Stewart
self-incrimination	Rhode Island v. Innis	Argued: October 30, 1979	Decided: May 12, 1980	Opinion, Stewart
self-incrimination	Arizona v. Fulminante	Argued: Oct. 10, 1990	Decided: March 26, 1991	Opinion, White
separation_of_powers	Calder v. Bull	Argued: August Term, 1798	Decided: 	Opinion, Chase
separation_of_powers	Kendall v. United States	Argued: 	Decided: 	Opinion, Thompson
separation_of_powers	Prize Cases	Argued: 	Decided: 	Opinion, Grier
separation_of_powers	Ex parte McCardle	Argued: 	Decided: 	Opinion, Chase
separation_of_powers	United States v. Klein	Argued: 	Decided: 	Opinion, Chase
separation_of_powers	Kilbourn v. Thompson	Argued: 	Decided: 	Opinion, Miller
separation_of_powers	McCray v. United States	Argued: December 2, 1903	Decided: May 31, 1904	Opinion, White
separation_of_powers	Standard Oil Co. of New Jersey v. United States	Argued: March 14, 15, 16, 1910	Decided: May 15, 1911	Opinion, White
separation_of_powers	([level Case Citation:]|[group citemenu:])",RH"]Selective Draft Law Cases	Argued: December 13, 14, 1917	Decided: 	Opinion, White
separation_of_powers	Block v. Hirsh	Argued: March 3, 1921	Decided: April 18, 1921	Opinion, Holmes
separation_of_powers	Myers v. United States	Argued: December 5, 1923Reargued April 13, 14, 1925	Decided: October 25, 1926	Opinion, Taft
separation_of_powers	([level Case Citation:]|[group citemenu:])",RH"]The Pocket Veto Case	Argued: March 11, 1929	Decided: May 27, 1929	Opinion, Sanford
separation_of_powers	A. L. A. Schechter Poultry Corp. v. United States	Argued: May 2, 3, 1935	Decided: May 27, 1935  [*]	Opinion, Hughes
separation_of_powers	Humphrey's Executor v. United States	Argued: 1, 1935	Decided: May 27, 1935	Opinion, Sutherland
separation_of_powers	343 U.S. 579	NA	NA	NA
